x,activation
-2.084542271135567759e+01,-6.507253626813407354e-01
-2.081540770385192474e+01,-6.489244622311155508e-01
-2.078539269634817543e+01,-6.471235617808905882e-01
-2.075537768884442258e+01,-6.453226613306654036e-01
-2.072536268134066972e+01,-6.435217608804403300e-01
-2.069534767383692042e+01,-6.417208604302152564e-01
-2.066533266633316401e+01,-6.399199599799898497e-01
-2.063531765882941471e+01,-6.381190595297648871e-01
-2.060530265132566186e+01,-6.363181590795397025e-01
-2.057528764382190900e+01,-6.345172586293146288e-01
-2.054527263631815970e+01,-6.327163581790895552e-01
-2.051525762881440684e+01,-6.309154577288644816e-01
-2.048524262131065399e+01,-6.291145572786392970e-01
-2.045522761380690469e+01,-6.273136568284143344e-01
-2.042521260630315183e+01,-6.255127563781891498e-01
-2.039519759879939897e+01,-6.237118559279639651e-01
-2.036518259129564967e+01,-6.219109554777390025e-01
-2.033516758379189326e+01,-6.201100550275135959e-01
-2.030515257628814396e+01,-6.183091545772886333e-01
-2.027513756878439111e+01,-6.165082541270634486e-01
-2.024512256128063825e+01,-6.147073536768382640e-01
-2.021510755377688895e+01,-6.129064532266133014e-01
-2.018509254627313609e+01,-6.111055527763881168e-01
-2.015507753876938324e+01,-6.093046523261630432e-01
-2.012506253126563394e+01,-6.075037518759380806e-01
-2.009504752376188108e+01,-6.057028514257127849e-01
-2.006503251625812823e+01,-6.039019509754876003e-01
-2.003501750875437892e+01,-6.021010505252627487e-01
